"","diff","lwr","upr","p adj"
"WW:Spunta-WS:Caesar",12.352,4.696671220171,20.007328779829,4.55936240826293e-05
"WW:Desiree-WS:Caesar",12.608,4.952671220171,20.263328779829,2.97286697196197e-05
"WW:Caesar-WW:Cardinal",1.46199999999999,-6.19332877982903,9.11732877982901,0.999988892524454
"WW:Diamant-WW:Cardinal",3.68599999999999,-3.96932877982903,11.341328779829,0.911615142721251
"WW:Mondial-WW:Cardinal",4.57999999999999,-3.07532877982903,12.235328779829,0.700018735826041
"WW:Farida-WW:Cardinal",4.80599999999999,-2.84932877982904,12.461328779829,0.630648710288874
"WW:Spunta-WW:Cardinal",8.75799999999999,1.10267122017097,16.413328779829,0.0119180992680238
"WW:Desiree-WW:Cardinal",9.014,1.35867122017097,16.669328779829,0.00833653591279404
"WW:Diamant-WW:Caesar",2.224,-5.43132877982902,9.87932877982902,0.998859133045969
"WW:Mondial-WW:Caesar",3.118,-4.53732877982902,10.773328779829,0.974311503508351
"WW:Farida-WW:Caesar",3.344,-4.31132877982902,10.999328779829,0.955683505098599
"WW:Spunta-WW:Caesar",7.296,-0.359328779829023,14.951328779829,0.0763957170477239
"WW:Desiree-WW:Caesar",7.55200000000001,-0.103328779829016,15.207328779829,0.0566193813154227
"WW:Mondial-WW:Diamant",0.893999999999998,-6.76132877982902,8.54932877982902,0.999999971969075
"WW:Farida-WW:Diamant",1.12,-6.53532877982903,8.77532877982902,0.999999544452695
"WW:Spunta-WW:Diamant",5.072,-2.58332877982902,12.727328779829,0.54653124209258
"WW:Desiree-WW:Diamant",5.32800000000001,-2.32732877982902,12.983328779829,0.466510281054289
"WW:Farida-WW:Mondial",0.225999999999999,-7.42932877982902,7.88132877982902,1
"WW:Spunta-WW:Mondial",4.178,-3.47732877982902,11.833328779829,0.810824935988977
"WW:Desiree-WW:Mondial",4.43400000000001,-3.22132877982901,12.089328779829,0.742577831769056
"WW:Spunta-WW:Farida",3.952,-3.70332877982902,11.607328779829,0.862545669883753
"WW:Desiree-WW:Farida",4.20800000000001,-3.44732877982901,11.863328779829,0.803319295076602
"WW:Desiree-WW:Spunta",0.256000000000007,-7.39932877982902,7.91132877982903,1
